path,xpos,ypos,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcomeScreen.started,textWelcome.started,welcomeScreen.stopped,trial.started,textContinue.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,image.started,image_2.started,text_2.started,image_2.stopped,polygon.started,text_2.stopped,mouse.started,image.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,cross.started,polygon_2.started,mouse_2.started,cross.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,end.started,text.started,text.stopped,end.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.0206857998855412,0.06403840007260442,3.0020574999507517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,526908,001,2024-05-14_14h55.59.549,attcheck,2024.1.4,None,2024-05-14 14h56.06.676021 +0530,
,,,,,,,,,,,,3.002077099867165,3.0162752000615,3.0162752000615,6.255099900066853,space,3.2216812998522073,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,526908,001,2024-05-14_14h55.59.549,attcheck,2024.1.4,None,2024-05-14 14h56.06.676021 +0530,
C:\Users\praka\Psychopy\five.jpg,-0.5,0,0,0,0,2,6.3214066999498755,,,,,,,,,,,,6.260515499860048,6.3214066999498755,12.265111200045794,12.331684899982065,13.265002900036052,13.265002900036052,7.011470100143924,16.61725450004451,[-0.51],[-0.0016666666666666668],[1],[0],[0],[3.3503048000857234],['polygon'],16.61778529989533,16.631694399984553,2.259993925690651e-05,18.73435699986294,[0.015],[0.008333333333333333],[1],[0],[0],[2.1161449998617172],['polygon_2'],,,,,526908,001,2024-05-14_14h55.59.549,attcheck,2024.1.4,None,2024-05-14 14h56.06.676021 +0530,
C:\Users\praka\Psychopy\seven.png,0.25,-0.25,0,1,1,6,18.748775499872863,,,,,,,,,,,,18.734979700064287,18.748775499872863,24.747921400004998,24.76433749985881,25.747377200052142,25.747377200052142,7.014357800129801,28.216220000060275,[0.26],[-0.23],[1],[0],[0],[2.466717400122434],['polygon'],28.216491699917242,28.231038799975067,1.810002140700817e-05,30.03488969989121,[-0.006666666666666667],[0.0033333333333333335],[1],[0],[0],[1.817928000120446],['polygon_2'],,,,,526908,001,2024-05-14_14h55.59.549,attcheck,2024.1.4,None,2024-05-14 14h56.06.676021 +0530,
C:\Users\praka\Psychopy\six.jpg,0.5,0,0,2,2,1,30.0472116000019,,,,,,,,,,,,30.035307900048792,30.0472116000019,36.04685919987969,36.04685919987969,37.04692339990288,37.04692339990288,7.013513999991119,38.83381980005652,[0.4866666666666667],[-0.006666666666666667],[1],[0],[0],[1.7847585000563413],['polygon'],38.83425959991291,38.846816499950364,2.6300083845853806e-05,40.533898199908435,[0.015],[-0.005],[1],[0],[0],[1.6991886000614613],['polygon_2'],,,,,526908,001,2024-05-14_14h55.59.549,attcheck,2024.1.4,None,2024-05-14 14h56.06.676021 +0530,
C:\Users\praka\Psychopy\one.png,-0.25,-0.25,0,3,3,5,40.56378010008484,,,,,,,,,,,,40.534525899915025,40.56378010008484,46.54631479992531,46.563122200081125,47.546566099859774,47.546566099859774,7.014089299831539,52.38284679991193,[-0.2633333333333333],[-0.22666666666666666],[1],[0],[0],[4.833916099974886],['polygon'],52.38349139993079,52.39622929994948,3.110012039542198e-05,54.482266899896786,[0.0],[-0.011666666666666667],[1],[0],[0],[2.098297300050035],['polygon_2'],,,,,526908,001,2024-05-14_14h55.59.549,attcheck,2024.1.4,None,2024-05-14 14h56.06.676021 +0530,
C:\Users\praka\Psychopy\eight.jpeg.jpg,0,0.25,0,4,4,0,54.51215870003216,,,,,,,,,,,,54.48299599997699,54.51215870003216,60.49542329995893,60.51222199993208,61.495503899874166,61.495503899874166,7.014448500005528,63.04781599994749,[0.0016666666666666668],[0.25],[1],[0],[0],[1.5502739998046309],['polygon'],63.048079299973324,63.062053399858996,1.7399899661540985e-05,64.2158602999989,[0.0016666666666666668],[0.015],[1],[0],[0],[1.167349899886176],['polygon_2'],,,,,526908,001,2024-05-14_14h55.59.549,attcheck,2024.1.4,None,2024-05-14 14h56.06.676021 +0530,
C:\Users\praka\Psychopy\NINE.jpg,-0.25,0.25,0,5,5,4,64.2291516000405,,,,,,,,,,,,64.21635390003212,64.2291516000405,70.22849870007485,70.22849870007485,71.22803810006008,71.22803810006008,7.014025900047272,72.98142990004271,[-0.23833333333333334],[0.24],[1],[0],[0],[1.7507591000758111],['polygon'],72.981819299981,72.99498359998688,2.3399945348501205e-05,75.03179030003957,[0.0016666666666666668],[-0.01],[1],[0],[0],[2.0496098999865353],['polygon_2'],,,,,526908,001,2024-05-14_14h55.59.549,attcheck,2024.1.4,None,2024-05-14 14h56.06.676021 +0530,
C:\Users\praka\Psychopy\zero.png,-0.4,-0.1,0,6,6,9,75.06184959993698,,,,,,,,,,,,75.03219809988514,75.06184959993698,81.04424540000036,81.06154030002654,82.04455300001428,82.04455300001428,7.014327900018543,83.23054619994946,[-0.385],[-0.09666666666666666],[1],[0],[0],[1.1837355999741703],['polygon'],83.2308275999967,83.24410689994693,1.810002140700817e-05,84.56355259986594,[-0.028333333333333332],[0.021666666666666667],[1],[0],[0],[1.3323288999963552],['polygon_2'],,,,,526908,001,2024-05-14_14h55.59.549,attcheck,2024.1.4,None,2024-05-14 14h56.06.676021 +0530,
C:\Users\praka\Psychopy\four.jpg,0,-0.25,0,7,7,3,84.61201380006969,,,,,,,,,,,,84.56392190000042,84.61201380006969,90.57729310006835,90.62742500007153,91.57714940002188,91.57714940002188,7.01499279984273,92.96461070002988,[0.01],[-0.25333333333333335],[1],[0],[0],[1.3853130000643432],['polygon'],92.96508820005693,92.97732479986735,2.659996971487999e-05,93.92969659995288,[0.008333333333333333],[0.023333333333333334],[1],[0],[0],[0.9640961999539286],['polygon_2'],,,,,526908,001,2024-05-14_14h55.59.549,attcheck,2024.1.4,None,2024-05-14 14h56.06.676021 +0530,
